school_name,city_state,district,rank_state_elementary,grade_level,enrollment,student_teacher_ratio,description,source_page,source_raw_school_name
Harmony School of Science - Austin,"Austin, TX",,1040.0,PK-5,456,17:1,"Harmony School of Science - Austin is a  school located in Austin, TX, which is in a large city setting.  The student population of Harmony School of Science - Austin is 456, and the school serves PK through...",104,Harmony School of Science -Austin
Howard Burnham Elementary,"El Paso, TX",Burnham Wood Charter School District,1041.0,PK-5,316,17:1,"Howard Burnham Elementary is a  school located in El Paso, TX, which is in a large city setting.  The student population of Howard Burnham Elementary is 316, and the school serves PK through 5 At Howard...",105,Howard BurnhamElementary
Quitman Elementary,"Quitman, TX",Quitman Independent School District,1041.0,PK-5,586,14:1,"Quitman Elementary is a  school located in Quitman, TX, which is in a distant rural setting.  The student population of Quitman Elementary is 586, and the school serves PK through 5 At Quitman Elementary,...",105,QuitmanElementary
Parkland Elementary,"El Paso, TX",Ysleta Independent School District,1043.0,K-5,507,14:1,"Parkland Elementary is a  school located in El Paso, TX, which is in a large city setting.  The student population of Parkland Elementary is 507, and the school serves K through 5 At Parkland Elementary,...",105,ParklandElementary
Sulphur Springs Elementary,"Sulphur Springs, TX",Sulphur Springs Independent School District,1044.0,4-5,639,14:1,"Sulphur Springs Elementary is a  school located in Sulphur Springs, TX, which is in a remote town setting.  The student population of Sulphur Springs Elementary is 639, and the school serves 4 through...",105,Sulphur SpringsElementary
Groves Elementary,"Humble, TX",Humble Independent School District,1045.0,PK-5,"1,034",15:1,"Groves Elementary is a  school located in Humble, TX, which is in a large suburb setting.  The student population of Groves Elementary is 1034, and the school serves PK through 5 At Groves Elementary,...",105,GrovesElementary
Davis Elementary,"Royse City, TX",Royse City Independent School District,1046.0,PK-5,520,14:1,"Davis Elementary is a  school located in Royse City, TX, which is in a fringe town setting.  The student population of Davis Elementary is 520, and the school serves PK through 5 At Davis Elementary, 54%...",105,DavisElementary
Birch Elementary,"Longview, TX",Pine Tree Independent School District,1047.0,1-4,639,14:1,"Birch Elementary is a  school located in Longview, TX, which is in a small city setting.  The student population of Birch Elementary is 639, and the school serves 1 through 4 At Birch Elementary, 51% scored...",105,BirchElementary
Blossom Elementary,"Blossom, TX",Prairiland Independent School District,1048.0,PK-5,429,14:1,"Blossom Elementary is a  school located in Blossom, TX, which is in a distant rural setting.  The student population of Blossom Elementary is 429, and the school serves PK through 5 At Blossom Elementary,...",105,BlossomElementary
Cedar Grove Elementary,"Livingston, TX",Livingston Independent School District,1049.0,1-5,530,17:1,"Cedar Grove Elementary is a  school located in Livingston, TX, which is in a remote town setting.  The student population of Cedar Grove Elementary is 530, and the school serves 1 through 5 At Cedar Grove...",105,Cedar GroveElementary
Waters Elementary,"Lubbock, TX",Lubbock Independent School District,1050.0,PK-5,483,14:1,"Waters Elementary is a  school located in Lubbock, TX, which is in a large city setting.  The student population of Waters Elementary is 483, and the school serves PK through 5 At Waters Elementary, 53%...",105,WatersElementary
Dean and Mildred Bennett Elementary,"McKinney, TX",Mckinney Independent School District,1051.0,K-5,481,15:1,"Dean and Mildred Bennett Elementary is a  school located in McKinney, TX, which is in a large suburb setting.  The student population of Dean and Mildred Bennett Elementary is 481, and the school serves...",106,Dean and Mildred BennettElementary
Rainwater Elementary,"Carrollton, TX",Carrollton-Farmers Branch Independent School District,1052.0,PK-5,351,12:1,"Rainwater Elementary is a  school located in Carrollton, TX, which is in a large suburb setting.  The student population of Rainwater Elementary is 351, and the school serves PK through 5 At Rainwater...",106,RainwaterElementary
Helena Park Elementary,"Nederland, TX",Nederland Independent School District,1053.0,PK-5,767,17:1,"Helena Park Elementary is a  school located in Nederland, TX, which is in a mid-size suburb setting.  The student population of Helena Park Elementary is 767, and the school serves PK through 5 At Helena...",106,Helena ParkElementary
Laureles Elementary,"San Benito, TX",,1054.0,PK-5,544,15:1,"Laureles Elementary is a  school located in San Benito, TX, which is in a fringe rural setting.  The student population of Laureles Elementary is 544, and the school serves PK through 5 At Laureles Elementary,...",106,LaurelesElementary
Bear Branch Elementary,"Kingwood, TX",Humble Independent School District,1055.0,PK-5,661,15:1,"Bear Branch Elementary is a  school located in Kingwood, TX, which is in a large city setting.  The student population of Bear Branch Elementary is 661, and the school serves PK through 5 At Bear Branch...",106,Bear BranchElementary
Herff Elementary,"Boerne, TX",Boerne Independent School District,1056.0,PK-5,626,14:1,"Herff Elementary is a  school located in Boerne, TX, which is in a fringe rural setting.  The student population of Herff Elementary is 626, and the school serves PK through 5 At Herff Elementary, 62%...",106,HerffElementary
Lawn Elementary,"Lawn, TX",,1057.0,PK-3,298,15:1,"Lawn Elementary is a  school located in Lawn, TX, which is in a distant rural setting.  The student population of Lawn Elementary is 298, and the school serves PK through 3 At Lawn Elementary, 57% scored...",106,LawnElementary
Ronald Reagan Elementary,"Cedar Park, TX",Leander Independent School District,1058.0,PK-5,796,14:1,"Ronald Reagan Elementary is a  school located in Cedar Park, TX, which is in a large suburb setting.  The student population of Ronald Reagan Elementary is 796, and the school serves PK through 5 At Ronald...",106,Ronald ReaganElementary
Los Fresnos Elementary,"Los Fresnos, TX",,1059.0,PK-5,558,15:1,"Los Fresnos Elementary is a  school located in Los Fresnos, TX, which is in a mid-size suburb setting.  The student population of Los Fresnos Elementary is 558, and the school serves PK through 5 At Los...",106,Los FresnosElementary
Houston Elementary,"Denton, TX",Denton Independent School District,1060.0,PK-5,527,13:1,"Houston Elementary is a  school located in Denton, TX, which is in a mid-size city setting.  The student population of Houston Elementary is 527, and the school serves PK through 5 At Houston Elementary,...",106,HoustonElementary
Serene Hills Elementary,"Austin, TX",Lake Travis Independent School District,1061.0,PK-5,758,17:1,"Serene Hills Elementary is a  school located in Austin, TX, which is in a large suburb setting.  The student population of Serene Hills Elementary is 758, and the school serves PK through 5 At Serene Hills...",107,Serene HillsElementary
Austin Parkway Elementary,"Sugar Land, TX",Fort Bend Independent School District,1062.0,PK-5,593,14:1,"Austin Parkway Elementary is a  school located in Sugar Land, TX, which is in a mid-size city setting.  The student population of Austin Parkway Elementary is 593, and the school serves PK through 5 At...",107,Austin ParkwayElementary
Ridgeview Elementary,"Keller, TX",Keller Independent School District,1063.0,PK-4,569,14:1,"Ridgeview Elementary is a  school located in Keller, TX, which is in a large suburb setting.  The student population of Ridgeview Elementary is 569, and the school serves PK through 4 At Ridgeview Elementary,...",107,RidgeviewElementary
Fox Run Elementary,"San Antonio, TX",North East Independent School District,1064.0,PK-5,642,12:1,"Fox Run Elementary is a  school located in San Antonio, TX, which is in a large city setting.  The student population of Fox Run Elementary is 642, and the school serves PK through 5 At Fox Run Elementary,...",107,Fox RunElementary
Donna Wernecke Elementary,"McAllen, TX",Sharyland Independent School District,1065.0,PK-6,672,16:1,"Donna Wernecke Elementary is a  school located in McAllen, TX, which is in a mid-size city setting.  The student population of Donna Wernecke Elementary is 672, and the school serves PK through 6 At Donna...",107,Donna WerneckeElementary
Brite Elementary,"Brownsville, TX",Brownsville Independent School District,1066.0,PK-5,538,15:1,"Brite Elementary is a  school located in Brownsville, TX, which is in a mid-size suburb setting.  The student population of Brite Elementary is 538, and the school serves PK through 5 At Brite Elementary,...",107,BriteElementary
Moreno Elementary,"Houston, TX",Houston Independent School District,1067.0,PK-6,692,18:1,"Moreno Elementary is a  school located in Houston, TX, which is in a large city setting.  The student population of Moreno Elementary is 692, and the school serves PK through 6 At Moreno Elementary, 52%...",107,MorenoElementary
Idea Mcallen Academy,"McAllen, TX",,1068.0,K-5,772,24:1,"Idea Mcallen Academy is a  school located in McAllen, TX, which is in a mid-size city setting.  The student population of Idea Mcallen Academy is 772, and the school serves K through 5 At Idea Mcallen...",107,Idea McallenAcademy
Dr Sue A Shook School,"El Paso, TX",Socorro Independent School District,1069.0,PK-5,"1,146",26:1,"Dr Sue A Shook School is a  school located in El Paso, TX, which is in a large suburb setting.  The student population of Dr Sue A Shook School is 1146, and the school serves PK through 5 At Dr Sue A Shook...",107,Dr Sue A ShookSchool
J C Martin Junior Elementary,"Laredo, TX",Laredo Independent School District,1070.0,PK-5,446,15:1,"J C Martin Junior Elementary is a  school located in Laredo, TX, which is in a large city setting.  The student population of J C Martin Junior Elementary is 446, and the school serves PK through 5 At...",107,J C Martin JuniorElementary
Mary Mcleod Bethune Elementary,"Dallas, TX",Dallas Independent School District,1070.0,PK-5,538,14:1,"Mary Mcleod Bethune Elementary is a  school located in Dallas, TX, which is in a large city setting.  The student population of Mary Mcleod Bethune Elementary is 538, and the school serves PK through 5...",108,Mary Mcleod BethuneElementary
Castroville Elementary,"Castroville, TX",Medina Valley Independent School District,1072.0,PK-5,645,15:1,"Castroville Elementary is a  school located in Castroville, TX, which is in a distant rural setting.  The student population of Castroville Elementary is 645, and the school serves PK through 5 At Castroville...",108,CastrovilleElementary
Bivins Elementary,"Amarillo, TX",Amarillo Independent School District,1073.0,PK-5,420,16:1,"Bivins Elementary is a  school located in Amarillo, TX, which is in a mid-size city setting.  The student population of Bivins Elementary is 420, and the school serves PK through 5 At Bivins Elementary,...",108,BivinsElementary
Harper Elementary,"Princeton, TX",Princeton Independent School District,1074.0,PK-5,696,16:1,"Harper Elementary is a  school located in Princeton, TX, which is in a fringe rural setting.  The student population of Harper Elementary is 696, and the school serves PK through 5 At Harper Elementary,...",108,HarperElementary
Thompson Elementary,"Carrollton, TX",Carrollton-Farmers Branch Independent School District,1075.0,PK-5,486,14:1,"Thompson Elementary is a  school located in Carrollton, TX, which is in a large suburb setting.  The student population of Thompson Elementary is 486, and the school serves PK through 5 At Thompson Elementary,...",108,ThompsonElementary
Humphrey's Highland Elementary,"Amarillo, TX",Amarillo Independent School District,1076.0,PK-5,539,15:1,"Humphrey's Highland Elementary is a  school located in Amarillo, TX, which is in a mid-size city setting.  The student population of Humphrey's Highland Elementary is 539, and the school serves PK through...",108,Humphrey's HighlandElementary
Bullard Int,"Bullard, TX",Bullard Independent School District,1077.0,5-6,431,15:1,"Bullard Int is a  school located in Bullard, TX, which is in a fringe rural setting.  The student population of Bullard Int is 431, and the school serves 5 through 6 At Bullard Int, 63% scored at or above...",108,BullardInt
Beckham Elementary,"Arlington, TX",Arlington Independent School District,1078.0,PK-6,427,13:1,"Beckham Elementary is a  school located in Arlington, TX, which is in a large city setting.  The student population of Beckham Elementary is 427, and the school serves PK through 6 At Beckham Elementary,...",108,BeckhamElementary
Martin Weiss Elementary,"Dallas, TX",Dallas Independent School District,1079.0,PK-5,446,13:1,"Martin Weiss Elementary is a  school located in Dallas, TX, which is in a large city setting.  The student population of Martin Weiss Elementary is 446, and the school serves PK through 5 At Martin Weiss...",108,Martin WeissElementary
Meadow Wood Elementary,"Houston, TX",Spring Branch Independent School District,1080.0,PK-5,631,16:1,"Meadow Wood Elementary is a  school located in Houston, TX, which is in a large city setting.  The student population of Meadow Wood Elementary is 631, and the school serves PK through 5 At Meadow Wood...",108,Meadow WoodElementary
Walt Disney Elementary,"Alvin, TX",Alvin Independent School District,1081.0,3-5,452,13:1,"Walt Disney Elementary is a  school located in Alvin, TX, which is in a large suburb setting.  The student population of Walt Disney Elementary is 452, and the school serves 3 through 5 At Walt Disney...",109,Walt DisneyElementary
Gallegos Elementary,"Brownsville, TX",Brownsville Independent School District,1082.0,PK-5,394,15:1,"Gallegos Elementary is a  school located in Brownsville, TX, which is in a mid-size city setting.  The student population of Gallegos Elementary is 394, and the school serves PK through 5 At Gallegos Elementary,...",109,GallegosElementary
Travis Elementary,"Edinburg, TX",,1083.0,PK-5,361,15:1,"Travis Elementary is a  school located in Edinburg, TX, which is in a mid-size city setting.  The student population of Travis Elementary is 361, and the school serves PK through 5 At Travis Elementary,...",109,TravisElementary
Los Encinos Ses,"Corpus Christi, TX",Corpus Christi Independent School District,1084.0,PK-5,309,14:1,"Los Encinos Ses is a  school located in Corpus Christi, TX, which is in a large city setting.  The student population of Los Encinos Ses is 309, and the school serves PK through 5 At Los Encinos Ses, 47%...",109,Los EncinosSes
Young Elementary,"Decatur, TX",Decatur Independent School District,1085.0,PK-5,465,14:1,"Young Elementary is a  school located in Decatur, TX, which is in a fringe rural setting.  The student population of Young Elementary is 465, and the school serves PK through 5 At Young Elementary, 57%...",109,YoungElementary
Zach White Elementary,"El Paso, TX",El Paso Independent School District,1086.0,PK-5,406,12:1,"Zach White Elementary is a  school located in El Paso, TX, which is in a large city setting.  The student population of Zach White Elementary is 406, and the school serves PK through 5 At Zach White Elementary,...",109,Zach WhiteElementary
East Point Elementary,"El Paso, TX",Ysleta Independent School District,1087.0,PK-5,605,15:1,"East Point Elementary is a  school located in El Paso, TX, which is in a large city setting.  The student population of East Point Elementary is 605, and the school serves PK through 5 At East Point Elementary,...",109,East PointElementary
Castaneda Elementary,"Brownsville, TX",Brownsville Independent School District,1088.0,PK-5,472,15:1,"Castaneda Elementary is a  school located in Brownsville, TX, which is in a mid-size city setting.  The student population of Castaneda Elementary is 472, and the school serves PK through 5 At Castaneda...",109,CastanedaElementary
Laura B Negley Elementary,"Kyle, TX",,1089.0,PK-5,"1,016",15:1,"Laura B Negley Elementary is a  school located in Kyle, TX, which is in a large suburb setting.  The student population of Laura B Negley Elementary is 1016, and the school serves PK through 5 At Laura...",109,Laura B NegleyElementary
Massey Ranch Elementary,"Pearland, TX",Pearland Independent School District,1090.0,PK-4,593,14:1,"Massey Ranch Elementary is a  school located in Pearland, TX, which is in a large suburb setting.  The student population of Massey Ranch Elementary is 593, and the school serves PK through 4 At Massey...",109,Massey RanchElementary
Bland Elementary,"Celeste, TX",Bland Independent School District,1091.0,PK-5,394,12:1,"Bland Elementary is a  school located in Celeste, TX, which is in a distant rural setting.  The student population of Bland Elementary is 394, and the school serves PK through 5 At Bland Elementary, 62%...",110,BlandElementary
San Jacinto Elementary,"Deer Park, TX",Deer Park Independent School District,1092.0,K-5,807,16:1,"San Jacinto Elementary is a  school located in Deer Park, TX, which is in a large suburb setting.  The student population of San Jacinto Elementary is 807, and the school serves K through 5 At San Jacinto...",110,San JacintoElementary
Idea Edgemere Academy,"El Paso, TX",,1093.0,K-5,878,27:1,"Idea Edgemere Academy is a  school located in El Paso, TX, which is in a fringe rural setting.  The student population of Idea Edgemere Academy is 878, and the school serves K through 5 At Idea Edgemere...",110,Idea EdgemereAcademy
Sam Houston Elementary,"Weslaco, TX",Weslaco Independent School District,1094.0,PK-5,756,18:1,"Sam Houston Elementary is a  school located in Weslaco, TX, which is in a large suburb setting.  The student population of Sam Houston Elementary is 756, and the school serves PK through 5 At Sam Houston...",110,Sam HoustonElementary
Veterans Memorial Elementary,"Laredo, TX",United Independent School District,1095.0,PK-5,807,17:1,"Veterans Memorial Elementary is a  school located in Laredo, TX, which is in a fringe rural setting.  The student population of Veterans Memorial Elementary is 807, and the school serves PK through 5 At...",110,Veterans MemorialElementary
Wernli Elementary,"San Antonio, TX",Northside Independent School District,1096.0,PK-5,774,16:1,"Wernli Elementary is a  school located in San Antonio, TX, which is in a large suburb setting.  The student population of Wernli Elementary is 774, and the school serves PK through 5 At Wernli Elementary,...",110,WernliElementary
Foster Elementary,"Riesel, TX",Riesel Independent School District,1097.0,PK-6,327,15:1,"Foster Elementary is a  school located in Riesel, TX, which is in a distant rural setting.  The student population of Foster Elementary is 327, and the school serves PK through 6 At Foster Elementary,...",110,FosterElementary
Red Duke Elementary,"Manvel, TX",Alvin Independent School District,1098.0,PK-5,722,16:1,"Red Duke Elementary is a  school located in Manvel, TX, which is in a large suburb setting.  The student population of Red Duke Elementary is 722, and the school serves PK through 5 At Red Duke Elementary,...",110,Red DukeElementary
John W Carpenter Elementary,"Dallas, TX",Dallas Independent School District,1099.0,PK-5,189,9:1,"John W Carpenter Elementary is a  school located in Dallas, TX, which is in a large city setting.  The student population of John W Carpenter Elementary is 189, and the school serves PK through 5 At John...",110,John W CarpenterElementary
James Bowie Elementary,"Dallas, TX",Dallas Independent School District,1100.0,PK-5,317,10:1,"James Bowie Elementary is a  school located in Dallas, TX, which is in a large city setting.  The student population of James Bowie Elementary is 317, and the school serves PK through 5 At James Bowie...",110,James BowieElementary
George E Kelly Elementary,"San Antonio, TX",San Antonio Independent School District,1101.0,PK-5,224,14:1,"George E Kelly Elementary is a  school located in San Antonio, TX, which is in a large city setting.  The student population of George E Kelly Elementary is 224, and the school serves PK through 5 At George...",111,George E KellyElementary
Margaret B Henderson Elementary,"Dallas, TX",Dallas Independent School District,1102.0,PK-5,347,13:1,"Margaret B Henderson Elementary is a  school located in Dallas, TX, which is in a large city setting.  The student population of Margaret B Henderson Elementary is 347, and the school serves PK through...",111,Margaret B HendersonElementary
Highland Park Elementary,"San Antonio, TX",San Antonio Independent School District,1103.0,PK-5,354,14:1,"Highland Park Elementary is a  school located in San Antonio, TX, which is in a large city setting.  The student population of Highland Park Elementary is 354, and the school serves PK through 5 At Highland...",111,Highland ParkElementary
Lincoln Elementary,"Edinburg, TX",,1104.0,PK-5,420,15:1,"Lincoln Elementary is a  school located in Edinburg, TX, which is in a mid-size city setting.  The student population of Lincoln Elementary is 420, and the school serves PK through 5 At Lincoln Elementary,...",111,LincolnElementary
Campestre Elementary,"El Paso, TX",Socorro Independent School District,1105.0,PK-5,521,24:1,"Campestre Elementary is a  school located in El Paso, TX, which is in a large suburb setting.  The student population of Campestre Elementary is 521, and the school serves PK through 5 At Campestre Elementary,...",111,CampestreElementary
Flossie Floyd Green Elementary,"Allen, TX",Allen Independent School District,1106.0,K-6,568,15:1,"Flossie Floyd Green Elementary is a  school located in Allen, TX, which is in a large suburb setting.  The student population of Flossie Floyd Green Elementary is 568, and the school serves K through 6...",111,Flossie Floyd GreenElementary
Clark Elementary,"Laredo, TX",United Independent School District,1107.0,PK-5,384,14:1,"Clark Elementary is a  school located in Laredo, TX, which is in a large city setting.  The student population of Clark Elementary is 384, and the school serves PK through 5 At Clark Elementary, 57% scored...",111,ClarkElementary
Carson Elementary,"San Antonio, TX",Northside Independent School District,1108.0,PK-5,509,14:1,"Carson Elementary is a  school located in San Antonio, TX, which is in a large city setting.  The student population of Carson Elementary is 509, and the school serves PK through 5 At Carson Elementary,...",111,CarsonElementary
Copeland Elementary,"Houston, TX",Cypress-Fairbanks Independent School District,1109.0,PK-5,965,15:1,"Copeland Elementary is a  school located in Houston, TX, which is in a large suburb setting.  The student population of Copeland Elementary is 965, and the school serves PK through 5 At Copeland Elementary,...",111,CopelandElementary
Idea Judson Academy,"San Antonio, TX",,1110.0,K-5,721,25:1,"Idea Judson Academy is a  school located in San Antonio, TX, which is in a large city setting.  The student population of Idea Judson Academy is 721, and the school serves K through 5 At Idea Judson Academy,...",111,Idea JudsonAcademy
Worth Heights Elementary,"Fort Worth, TX",Fort Worth Independent School District,1111.0,PK-5,484,15:1,"Worth Heights Elementary is a  school located in Fort Worth, TX, which is in a large city setting.  The student population of Worth Heights Elementary is 484, and the school serves PK through 5 At Worth...",112,Worth HeightsElementary
Oak Ridge Elementary,"Conroe, TX",Conroe Independent School District,1112.0,PK-4,608,14:1,"Oak Ridge Elementary is a  school located in Conroe, TX, which is in a large suburb setting.  The student population of Oak Ridge Elementary is 608, and the school serves PK through 4 At Oak Ridge Elementary,...",112,Oak RidgeElementary
San Jacinto Elementary,"Odessa, TX",Ector County Independent School District,1113.0,K-5,375,18:1,"San Jacinto Elementary is a  school located in Odessa, TX, which is in a mid-size city setting.  The student population of San Jacinto Elementary is 375, and the school serves K through 5 At San Jacinto...",112,San JacintoElementary
Harmony School of Innovation- Euless,"Euless, TX",,1114.0,K-5,688,16:1,"Harmony School of Innovation- Euless is a  school located in Euless, TX, which is in a large suburb setting.  The student population of Harmony School of Innovation- Euless is 688, and the school serves...",112,Harmony School of Innovation-Euless
Harmony Elementary,"Big Sandy, TX",Harmony Independent School District,1115.0,PK-3,287,11:1,"Harmony Elementary is a  school located in Big Sandy, TX, which is in a distant rural setting.  The student population of Harmony Elementary is 287, and the school serves PK through 3 At Harmony Elementary,...",112,HarmonyElementary
Heritage Elementary,"San Antonio, TX",Southside Independent School District,1116.0,1-5,485,13:1,"Heritage Elementary is a  school located in San Antonio, TX, which is in a fringe rural setting.  The student population of Heritage Elementary is 485, and the school serves 1 through 5 At Heritage Elementary,...",112,HeritageElementary
Mahanay Elementary,"Houston, TX",Alief Independent School District,1117.0,PK-4,576,11:1,"Mahanay Elementary is a  school located in Houston, TX, which is in a large city setting.  The student population of Mahanay Elementary is 576, and the school serves PK through 4 At Mahanay Elementary,...",112,MahanayElementary
Cayuga Elementary,"Tennessee Colony, TX",Cayuga Independent School District,1118.0,PK-5,264,14:1,"Cayuga Elementary is a  school located in Tennessee Colony, TX, which is in a remote rural setting.  The student population of Cayuga Elementary is 264, and the school serves PK through 5 At Cayuga Elementary,...",112,CayugaElementary
Moss Haven Elementary,"Dallas, TX",Richardson Independent School District,1119.0,PK-6,488,12:1,"Moss Haven Elementary is a  school located in Dallas, TX, which is in a large city setting.  The student population of Moss Haven Elementary is 488, and the school serves PK through 6 At Moss Haven Elementary,...",112,Moss HavenElementary
Christoval Elementary,"Christoval, TX",Christoval Independent School District,1120.0,PK-5,273,12:1,"Christoval Elementary is a  school located in Christoval, TX, which is in a distant rural setting.  The student population of Christoval Elementary is 273, and the school serves PK through 5 At Christoval...",112,ChristovalElementary
Calder Road Elementary,"Dickinson, TX",Dickinson Independent School District,1121.0,PK-3,566,14:1,"Calder Road Elementary is a  school located in Dickinson, TX, which is in a mid-size suburb setting.  The student population of Calder Road Elementary is 566, and the school serves PK through 3 At Calder...",113,Calder RoadElementary
Harmony School of Endeavor Austin,"Austin, TX",,1122.0,PK-12,961,17:1,"Harmony School of Endeavor Austin is a  school located in Austin, TX, which is in a large city setting.  The student population of Harmony School of Endeavor Austin is 961, and the school serves PK through...",113,Harmony School of EndeavorAustin
E A Lawhon Elementary,"Pearland, TX",Pearland Independent School District,1123.0,PK-4,814,15:1,"E A Lawhon Elementary is a  school located in Pearland, TX, which is in a large suburb setting.  The student population of E A Lawhon Elementary is 814, and the school serves PK through 4 At E A Lawhon...",113,E A LawhonElementary
Ysleta Elementary,"El Paso, TX",Ysleta Independent School District,1124.0,PK-5,345,15:1,"Ysleta Elementary is a  school located in El Paso, TX, which is in a large city setting.  The student population of Ysleta Elementary is 345, and the school serves PK through 5 At Ysleta Elementary, 62%...",113,YsletaElementary
Arnoldo Cantu Sr Elementary,"San Juan, TX",Pharr-San Juan-Alamo Independent School District,1125.0,PK-5,612,17:1,"Arnoldo Cantu Sr Elementary is a  school located in San Juan, TX, which is in a large suburb setting.  The student population of Arnoldo Cantu Sr Elementary is 612, and the school serves PK through 5 At...",113,Arnoldo Cantu SrElementary
Whitestone Elementary,"Leander, TX",Leander Independent School District,1126.0,PK-5,888,13:1,"Whitestone Elementary is a  school located in Leander, TX, which is in a large suburb setting.  The student population of Whitestone Elementary is 888, and the school serves PK through 5 At Whitestone...",113,WhitestoneElementary
Farmers Branch Elementary,"Farmers Branch, TX",Carrollton-Farmers Branch Independent School District,1127.0,PK-5,474,13:1,"Farmers Branch Elementary is a  school located in Farmers Branch, TX, which is in a large suburb setting.  The student population of Farmers Branch Elementary is 474, and the school serves PK through 5...",113,Farmers BranchElementary
Willbern Elementary,"Houston, TX",Cypress-Fairbanks Independent School District,1128.0,PK-5,939,14:1,"Willbern Elementary is a  school located in Houston, TX, which is in a large suburb setting.  The student population of Willbern Elementary is 939, and the school serves PK through 5 At Willbern Elementary,...",113,WillbernElementary
Eastridge Elementary,"Amarillo, TX",Amarillo Independent School District,1129.0,PK-5,550,12:1,"Eastridge Elementary is a  school located in Amarillo, TX, which is in a mid-size city setting.  The student population of Eastridge Elementary is 550, and the school serves PK through 5 At Eastridge Elementary,...",113,EastridgeElementary
Canutillo Elementary,"Canutillo, TX",Canutillo Independent School District,1130.0,PK-5,494,14:1,"Canutillo Elementary is a  school located in Canutillo, TX, which is in a large suburb setting.  The student population of Canutillo Elementary is 494, and the school serves PK through 5 At Canutillo Elementary,...",113,CanutilloElementary
Harmony Science Academy - Cypress,"Cypress, TX",,1131.0,K-5,666,16:1,"Harmony Science Academy - Cypress is a  school located in Cypress, TX, which is in a large city setting.  The student population of Harmony Science Academy - Cypress is 666, and the school serves K through...",114,Harmony Science Academy -Cypress
Valor North Austin,"Austin, TX",,1132.0,K-11,996,16:1,"Valor North Austin is a  school located in Austin, TX, which is in a large suburb setting.  The student population of Valor North Austin is 996, and the school serves K through 11 At Valor North Austin,...",114,Valor NorthAustin
Idalou Elementary,"Idalou, TX",Idalou Independent School District,1133.0,PK-4,398,14:1,"Idalou Elementary is a  school located in Idalou, TX, which is in a distant rural setting.  The student population of Idalou Elementary is 398, and the school serves PK through 4 At Idalou Elementary,...",114,IdalouElementary
Prada Elementary,"Laredo, TX",United Independent School District,1134.0,PK-5,743,17:1,"Prada Elementary is a  school located in Laredo, TX, which is in a large city setting.  The student population of Prada Elementary is 743, and the school serves PK through 5 At Prada Elementary, 51% scored...",114,PradaElementary
Villareal Elementary,"Olmito, TX",,1135.0,PK-5,459,15:1,"Villareal Elementary is a  school located in Olmito, TX, which is in a mid-size suburb setting.  The student population of Villareal Elementary is 459, and the school serves PK through 5 At Villareal Elementary,...",114,VillarealElementary
Deep Wood Elementary,"Round Rock, TX",Round Rock Independent School District,1136.0,PK-5,338,10:1,"Deep Wood Elementary is a  school located in Round Rock, TX, which is in a mid-size city setting.  The student population of Deep Wood Elementary is 338, and the school serves PK through 5 At Deep Wood...",114,Deep WoodElementary
Sealy Elementary,"Sealy, TX",Sealy Independent School District,1137.0,PK-5,703,14:1,"Sealy Elementary is a  school located in Sealy, TX, which is in a distant town setting.  The student population of Sealy Elementary is 703, and the school serves PK through 5 At Sealy Elementary, 59% scored...",114,SealyElementary
Lily B Clayton Elementary,"Fort Worth, TX",Fort Worth Independent School District,1138.0,PK-5,477,14:1,"Lily B Clayton Elementary is a  school located in Fort Worth, TX, which is in a large city setting.  The student population of Lily B Clayton Elementary is 477, and the school serves PK through 5 At Lily...",114,Lily B ClaytonElementary
Cora Thomas Elementary,"Richmond, TX",,1139.0,PK-5,665,19:1,"Cora Thomas Elementary is a  school located in Richmond, TX, which is in a large suburb setting.  The student population of Cora Thomas Elementary is 665, and the school serves PK through 5 At Cora Thomas...",114,Cora ThomasElementary
Leyendecker Elementary,"Laredo, TX",Laredo Independent School District,1140.0,PK-5,424,15:1,"Leyendecker Elementary is a  school located in Laredo, TX, which is in a large city setting.  The student population of Leyendecker Elementary is 424, and the school serves PK through 5 At Leyendecker...",114,LeyendeckerElementary
Canyon Ridge Elementary,"San Antonio, TX",North East Independent School District,1141.0,PK-5,492,13:1,"Canyon Ridge Elementary is a  school located in San Antonio, TX, which is in a large city setting.  The student population of Canyon Ridge Elementary is 492, and the school serves PK through 5 At Canyon...",115,Canyon RidgeElementary
Lincoln Elementary,"Montgomery, TX",Montgomery Independent School District,1142.0,PK-5,470,14:1,"Lincoln Elementary is a  school located in Montgomery, TX, which is in a fringe rural setting.  The student population of Lincoln Elementary is 470, and the school serves PK through 5 At Lincoln Elementary,...",115,LincolnElementary
Hurla M Midkiff Elementary,"Palmhurst, TX",,1143.0,PK-5,662,17:1,"Hurla M Midkiff Elementary is a  school located in Palmhurst, TX, which is in a large suburb setting.  The student population of Hurla M Midkiff Elementary is 662, and the school serves PK through 5 At...",115,Hurla M MidkiffElementary
T W Ogg Elementary,"Clute, TX",Brazosport Independent School District,1144.0,PK-4,564,14:1,"T W Ogg Elementary is a  school located in Clute, TX, which is in a small suburb setting.  The student population of T W Ogg Elementary is 564, and the school serves PK through 4 At T W Ogg Elementary,...",115,T W OggElementary
